,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
installment,0.6669376693766937,0.5956619849460696,0.5385889421694996,0.5118486802030575,0.5291704983692995,0.5545907261358022,0.5311600739935346,0.5401055055291899,0.5479083805558537,0.5442717376215687,0.5709543427617081
int_rate,0.7392953929539295,0.6137223558624971,0.613394453503384,0.6526952428369832,0.6712792701754035,0.6520488363656662,0.669247637025271,0.6852660185109436,0.709703484856021,0.6906406025259957,0.6805156901146023
last_fico_range_high,0.7772357723577235,0.7148844572049351,0.777843078196401,0.8421525108215043,0.8725235919447716,0.8800927028685825,0.8963173164263128,0.9182387354130931,0.9419340945620597,0.9605392625001808,0.9682342052471608
last_fico_range_low,0.7712737127371273,0.713975634360208,0.7766861457600912,0.8414556131609805,0.8719956994151655,0.8797344331755992,0.896020218751764,0.9180409530368443,0.941867977450914,0.9604349789933172,0.9679705129158152
loan_amnt,0.6829268292682926,0.6092739970512919,0.5348361540256418,0.5246371203030316,0.5516377952674105,0.5558319377913638,0.5414613800891988,0.5466571859407663,0.5551827287853234,0.5442451708403591,0.5679825108663545
dti,0.6073170731707316,0.5707753550089236,0.544741051289595,0.5367512776697501,0.5466381381109361,0.5532973620091727,0.567964388043596,0.5724785760054532,0.5836236714970939,0.578746821175535,0.5747670511581608
earliest_cr_line_age,0.6086720867208673,0.5432542872662373,0.5454916886994641,0.5249873712006615,0.5297531017061637,0.5193230339100987,0.5298966766586232,0.5298182308893529,0.5359925691033913,0.5325588114473024,0.5302819025017844
fico_range_high,0.6712737127371273,0.6084443237370994,0.5791624593973522,0.6110286213769817,0.6093171495015278,0.6010710809277,0.5813681215594254,0.5800567955057514,0.5918901478374392,0.5972043923816579,0.6003962546097887
annual_inc,0.5422764227642276,0.5420518351827422,0.5464735317039467,0.565484884490566,0.5634886303570451,0.5476683179138406,0.5583801376358744,0.5541761475611879,0.5469224723556406,0.5533685085087214,0.5453805697749974
sub_grade,0.7360433604336043,0.6192614262435012,0.6135763944653716,0.653679450076819,0.6691441077078808,0.6534289989108537,0.6691976476215503,0.6880949776890347,0.7099155927656972,0.6906979652681358,0.6808415938570105
fico_range_low,0.6712737127371273,0.6084443237370994,0.5791624593973522,0.6110286213769817,0.6093171495015278,0.6010710809277,0.5813681026697803,0.5800568631927356,0.5918900922769494,0.5972041894505445,0.6003957259465825
emp_length,0.5720867208672087,0.5479717544812601,0.4879373223491905,0.5215032887325842,0.5229278719359073,0.5129844803477359,0.4953292348227395,0.5072146983042227,0.4986178422615094,0.5059947347356395,0.5134942220351947
purpose_renewable_energy,,0.5011406844106464,0.5007277140335393,0.5013869184952502,0.4996369609521742,0.49985759092757476,0.49994554680272696,0.4999685057026097,0.49986206220479945,0.49994449154837495,0.4999421909216325
verification_status_Source Verified,,0.49696019244199585,0.5220369516285152,0.5094547226932559,0.4939044570443964,0.49798890606537594,0.49647244277473607,0.529041083483501,0.5070647350971768,0.49935609683809457,0.4987704254673607
total_bal_il,,,,,,,,,,0.5143967629802343,0.5088814984352674
open_acc_6m,,,,,,,,,,0.5470861016261225,0.524585834271843
all_util,,,,,,,,,,0.5611776461089224,0.5655399018293269
mths_since_rcnt_il,,,,,,,,,,0.5469912521907849,0.5118162875072254
max_bal_bc,,,,,,,,,,0.5397479297563306,0.5132459695510257
open_il_12m,,,,,,,,,,0.5429807378310404,0.5068628902718315
open_rv_12m,,,,,,,,,,0.5495288674750828,0.533791571933105
inq_fi,,,,,,,,,,0.5318565528489143,0.5135805653534922
total_cu_tl,,,,,,,,,,0.5063969183303706,0.5166062517496806
open_rv_24m,,,,,,,,,,0.5675952613740611,0.5474915681022744
il_util,,,,,,,,,,0.5440192661340204,0.5260877686172671
inq_last_12m,,,,,,,,,,0.5498003256399707,0.5301701858630844
open_il_24m,,,,,,,,,,0.543764844759761,0.5107014427276431
open_act_il,,,,,,,,,,0.5182622495233332,0.5094270912085179
